Id,UniqueID,Item Name,Description,Owner,Size (if applicable),Container space available (if applicable),Category,Type
71,Gloves11,Work gloves,HyFlex work gloves ,Marine Mammals,9,,Necropsy,Consumable
72,Gloves12,Work gloves,HyFlex work gloves ,Marine Mammals,10,,Necropsy,Consumable
73,Gloves13,Work gloves,Random work gloves,Marine Mammals,various,,Necropsy,Consumable
74,Gloves14,Latex gloves,Princess flock-lined latex gloves,Marine Mammals,small,,Necropsy,Consumable
75,Gloves15,Latex gloves,Princess flock-lined latex gloves,Marine Mammals,M,,Necropsy,Consumable
76,Gloves16,Latex gloves,Princess flock-lined latex gloves,Marine Mammals,L,,Necropsy,Consumable
77,Gloves2,Lab gloves,Box of Dura flock gloves (50pk),Marine Mammals,Small,,Necropsy,Consumable
78,Gloves3,Lab gloves,Box of Dura flock gloves (50pk),Marine Mammals,Medium,,Necropsy,Consumable
79,Gloves4,Lab gloves,Box of Dura flock gloves (50pk),Marine Mammals,Large,,Necropsy,Consumable
80,Gloves5,Lab gloves,Box of Dura flock gloves (50pk),Marine Mammals,XL,,Necropsy,Consumable
81,Gloves6,Lab gloves,Box of TouchNTuff gloves (100pk),Marine Mammals,Medium,,Necropsy,Consumable
82,Gloves7,Lab gloves,Box of TouchNTuff gloves (100pk),Marine Mammals,Large,,Necropsy,Consumable
83,Gloves8,Lab gloves,Box of TouchNTuff gloves (100pk),Marine Mammals,XL,,Necropsy,Consumable
84,Gloves9,Lab gloves,Box of Evolution One gloves (100pk),Marine Mammals,Medium,,Necropsy,Consumable
85,GoKit1,Go Kit,Clear bin - Grab and go kit for mini necropsy,Marine Mammals,,20,Necropsy,Durable
