unique_id,item_name,description,owner,size,container_space,category,type
CleaningBrush2,Scrub Brush,Scrub Brush,Marine Mammals,Large,,Necropsy,Consumable
CleaningSupplies1,Black Crate,Black crate filled with cleaning supplies,Marine Mammals,large,5,Necropsy,Durable
CleaningSupplies2,Black crate,Black crate with wheels filled with supplies,Marine Mammals,XXL,0,Necropsy,Durable
Clinometer1,Clinometer,Clinometer,Marine Mammals,,,Survey Gear,Durable
Clipboard1,Clipboard,Wooden clipboard,Marine Mammals,,,Necropsy,Durable
Clips1,Clips,Plastic bag clips,Marine Mammals,,,Necropsy,Durable
Cloths1,Cleaning cloth,All purpose cleaning cloth,Marine Mammals,,,Necropsy,Consumable
Cooler1,Cooler,"Blue cooler with wheels, empty",Marine Mammals,Large,100,Necropsy,Durable
Cooler2,Cooler,"Blue cooler no wheels, empty",Marine Mammals,Large,100,Necropsy,Durable
Cooler3,Cooler,"Green cooler no wheels, empty",Marine Mammals,XL,100,Necropsy,Durable
Cooler4,Cooler,"Blue with wheels, empty",Marine Mammals,XXL,100,Necropsy,Durable
Cooler5,Cooler,"Blue with wheels, ice packs",Mikio?,XL,100,Necropsy,Durable
CuttingBoard1,Cutting board,Cutting board,Marine Mammals,,,Necropsy,Durable
DBattery1,D Battery,Duracell D Battery,Marine Mammals,,,Survey Gear,Consumable
Degreaser1,Degreaser liquid,Blue cleaner degreaser for knives,Marine Mammals,4L,,Necropsy,Consumable
DigitalCamera1,Digital Camera,Sony RX-10 digital SLR in hard case,Marine Mammals,,,Survey Gear,Durable
DigitalWatch1,Digital Watch,Digital Watch,Marine Mammals,,,Survey Gear,Durable
DishSoap1,Dish soap,Green works dish soap,Marine Mammals,,,Necropsy,Consumable
DryBackpack1,Dry Backpack,Green dry backpack,Marine Mammals,,,Survey Gear,Durable
DryDuffleBag1,Dry duffle bag,Red dry duffle bag,Marine Mammals,m,,Survey Gear,Durable
DuctTape1,Duct Tape,Duct Tape,Marine Mammals,,,Necropsy,Durable
EarPlugs1,Ear Plugs,Soft Ear Plugs,Marine Mammals,,,Survey Gear,Consumable
EarProtector1,Ear Protector,Ear muff style ear protector,Marine Mammals,,,Necropsy,Durable
ElectricalTape1,Electrical Tape,Electrical Tape,Marine Mammals,,,Necropsy,Consumable
EyeglassCleaner1,Eyeglass cleaner,Bottle of eyeglass cleaner,Marine Mammals,250ml,,Necropsy,Consumable
EyeWash1,Eye Wash,single use eye wash,Marine Mammals,,,Necropsy,Consumable
FabricSoftener1,Fabric softener,Fabric softener sheets,Marine Mammals,,,Necropsy,Consumable
FaceShield1,Face Shield,Face Shield,Marine Mammals,,,Necropsy,Durable
FacialTissue1,Facial tissues,Box of kleenex,Marine Mammals,,,Necropsy,Consumable
FirstAidKit1,First aid kit,All purpose first aid kit,Marine Mammals,small,,Necropsy,Consumable
FirstAidKit2,First aid kit,All purpose first aid kit,Marine Mammals,large,,Necropsy,Consumable
FirstAidSupplies1,Blue rubbermaid,Blue rubbermaid with first aid supplies,Marine Mammals,medium,40,Necropsy,Durable
FirstAidSupplies2,Black crate,Black crate no wheels filled with supplies,Marine Mammals,large,5,Necropsy,Durable
